LDA,Label
-1.806,0
0.978,1
-0.506,0
-2.275,0
1.115,1
0.111,1
1.26,1
0.639,1
0.57,0
0.565,0
-0.921,1
-1.027,0
0.447,1
-0.4,0
-1.239,0
0.208,0
0.115,1
-1.87,0
2.348,1
2.508,1
-1.066,0
-1.121,0
0.261,0
2.355,1
-0.912,0
-0.021,0
0.219,1
0.393,1
-0.638,1
-0.147,0
-1.705,0
1.635,1
1.036,1
-1.402,0
1.112,1
2.591,1
-1.025,0
-0.749,0
0.674,1
2.137,1
-0.712,0
-0.376,0
