Duplicated name,Without location,Without description,Without website,Unverified,Followers,Followings,Public member,Likes,Total tweets,Age,Default theme,Default photo,Source,Without geotagged,Tweet's retweets,Tweet's likes,Mentions,Hashtags,Link,Label
0,1,0,1,1,2,4,0,1,15,1,1,0,93,1,1,1,0,12,0,1
0,1,0,1,1,24016,23789,131,158586,178031,0,0,0,88,1,1,5,0,1,0,0
0,0,0,0,1,486,989,12,1784,6152,0,1,0,88,1,2,1,0,22,1,0
0,0,0,1,1,1094,1806,42,41096,18113,0,0,0,90,1,0,1,0,2,1,0
0,0,0,1,1,58,132,0,68,263,0,0,0,88,1,1,1,1,5,1,1
0,0,0,1,1,384,245,5,6865,5354,0,1,0,93,1,0,0,0,1,1,1
0,0,0,0,1,3392,1844,285,6878,44870,0,0,0,80,1,1,1,6,6,1,0
0,0,0,0,0,28156,3455,744,11838,39770,0,0,0,29,1,3,2,0,5,0,0
0,1,1,1,1,2,84,0,0,9,0,1,1,88,1,1,2,0,4,1,1
0,1,0,0,1,23,5,1,2,4056,0,1,0,29,1,1,1,0,1,1,1
0,0,0,0,1,366,260,5,664,877,0,0,0,29,1,1,2,1,5,1,0
0,0,0,0,1,331,425,3,528,317,0,1,0,29,1,2,2,0,7,0,0
0,0,0,0,1,11,0,0,0,347,0,1,0,29,1,1,1,0,20,1,1
0,1,0,0,1,3136,4992,43,7691,3104,0,0,0,80,1,2,1,0,4,1,0
